# psr,telescope,full,wn,A_rn,gamma,theta,phi,cadence,tspan
B1855+09, AO, 0.7960, 0.4820, 0.0690, -3.0000, 1.4023, 4.9534, 10.7426, 10.9980,
B1937+21, AO_GBT, 1.5000, 0.1100, 0.1570, -2.8000, 1.1961, 5.1377, 28.0962, 11.2518,
B1953+29, AO, 0.3940, nan, nan, nan, 1.0644, 5.2074, 10.4357, 4.4260,
J0023+0923, AO, 0.3080, nan, nan, nan, 1.4069, 0.1016, 11.4141, 4.4288,
J0030+0451, AO, 0.7100, 0.2410, 0.0250, -4.0000, 1.4860, 0.1329, 11.0682, 10.9297,
J0340+4130, GBT, 0.4540, nan, nan, nan, 0.8463, 0.9616, 26.0893, 3.8499,
J0613-0200, GBT, 0.5020, 0.1990, 0.2120, -1.2000, 1.6059, 1.6307, 21.4853, 10.7583,
J0645+5158, GBT, 0.1800, nan, nan, nan, 0.6637, 1.7714, 22.8281, 4.5489,
J1012+5307, GBT, 1.2700, 0.3540, 0.4760, -1.5000, 0.6437, 2.6728, 20.2917, 11.3565,
J1024-0719, GBT, 0.3240, nan, nan, nan, 1.6986, 2.7255, 24.3500, 6.1867,
J1455-3330, GBT, 0.5710, nan, nan, nan, 2.1557, 3.9087, 18.2625, 11.3695,
J1600-3053, GBT, 0.1810, nan, nan, nan, 2.1101, 4.1926, 24.3500, 8.1289,
J1614-2230, GBT, 0.1830, nan, nan, nan, 1.9636, 4.2525, 22.8281, 7.2413,
J1640+2224, AO, 0.3820, nan, nan, nan, 1.1798, 4.3645, 11.7823, 11.0690,
J1643-1224, GBT, 3.5100, 0.7570, 1.6190, -1.3000, 1.7875, 4.3792, 20.2917, 11.1646,
J1713+0747, AO_GBT, 0.1160, 0.1030, 0.0210, -1.6000, 1.4348, 4.5109, 40.5833, 10.9352,
J1738+0333, AO, 0.3640, nan, nan, nan, 1.5088, 4.6203, 8.6964, 6.1461,
J1741+1351, AO, 0.1020, nan, nan, nan, 1.3289, 4.6318, 10.1458, 6.3919,
J1744-1134, GBT, 0.4030, nan, nan, nan, 1.7729, 4.6447, 19.2237, 11.3722,
J1747-4036, GBT, 5.3500, 1.5800, 1.8230, -1.4000, 2.2797, 4.6592, 26.0893, 3.8336,
J1853+1303, AO, 0.2050, nan, nan, nan, 1.3428, 4.9478, 12.1750, 4.5024,
J1903+0327, AO, 4.0100, 0.5730, 1.6150, -2.1000, 1.5105, 4.9877, 9.8716, 6.1461,
J1909-3744, GBT, 0.1870, 0.0700, 0.0420, -1.7000, 2.2294, 5.0169, 28.0962, 11.2109,
J1910+1256, AO, 0.5150, nan, nan, nan, 1.3449, 5.0185, 9.6118, 6.8394,
J1918-0642, GBT, 0.2970, nan, nan, nan, 1.6879, 5.0562, 20.2917, 11.1645,
J1923+2515, AO, 0.2290, nan, nan, nan, 1.1299, 5.0762, 10.7426, 4.3412,
J1944+0907, AO, 0.3330, nan, nan, nan, 1.4116, 5.1669, 12.5948, 4.4369,
J2010-1323, GBT, 0.2600, nan, nan, nan, 1.8047, 5.2830, 24.3500, 6.2476,
J2017+0603, AO, 0.0910, nan, nan, nan, 1.4652, 5.3118, 14.0481, 3.7952,
J2043+1711, AO, 0.1190, nan, nan, nan, 1.2708, 5.4251, 20.2917, 4.4614,
J2145-0750, GBT, 1.1800, 0.3040, 0.5890, -1.3000, 1.7076, 5.6978, 17.3929, 11.2517,
J2214+3000, AO, 1.3300, nan, nan, nan, 1.0470, 5.8235, 13.0446, 4.1966,
J2302+4442, GBT, 0.8360, nan, nan, nan, 0.7905, 6.0335, 26.0893, 3.8499,
J2317+1439, AO, 0.2870, nan, nan, nan, 1.3150, 6.0962, 13.0446, 11.0334,
